trials per variant: 200000
label	featBase%	sigHard	soft	mean	p50	p90	p99	max	%hardPity	meanStars	ceilStars
A shallow (PO concern)	0.60	25	none	23.16	25	25	25	25	85.3	3705	4000
B no-soft, hard 50	0.60	50	none	42.05	50	50	50	50	68.0	6728	8000
C no-soft, hard 70	0.60	70	none	54.49	70	70	70	70	57.1	8718	11200
E no-soft baseline hard75	0.60	75	none	57.34	75	75	75	75	54.9	9175	12000
D no-soft, deep hard 90	0.60	90	none	64.85	85	90	90	90	48.0	10375	14400
F 1.0% no-soft, hard 75	1.00	75	none	48.93	54	75	75	75	37.2	7829	12000
SP soft +0.5% start41	0.60	75	+0.5%/41	46.58	51	66	75	75	2.2	7453	12000
SP soft +1% start41	0.60	75	+1.0%/41	43.41	48	59	67	75	0.1	6946	12000
SP soft +2% start41	0.60	75	+2.0%/41	41.01	46	53	59	70	0.0	6562	12000
SP soft +3% start41	0.60	75	+3.0%/41	39.92	45	51	55	65	0.0	6388	12000
